Date,Open,High,Low,Close*,Adj Close**,Volume
01-05-94,3125.30,3157.50,2925.00,2970.50,2970.50,-
01-06-94,2984.20,3059.20,2844.70,2919.20,2919.20,-
01-07-94,2914.10,3132.80,2906.20,3082.60,3082.60,-
01-08-94,3077.80,3280.00,3075.80,3251.30,3251.30,-
01-09-94,3243.60,3253.40,2986.00,3026.30,3026.30,-
01-10-94,3024.30,3151.20,2950.20,3097.40,3097.40,-
01-11-94,3081.50,3168.10,3010.10,3081.40,3081.40,-
01-12-94,3079.60,3109.70,2938.80,3065.50,3065.50,-
01-01-95,3065.50,3084.40,2949.40,2991.60,2991.60,-
01-02-95,3001.80,3114.60,2998.20,3009.30,3009.30,-
01-03-95,3020.00,3185.60,2958.60,3137.90,3137.90,-
01-04-95,3134.20,3241.50,3129.50,3216.70,3216.70,-
01-05-95,3212.80,3360.80,3211.20,3319.40,3319.40,-
01-06-95,3352.30,3404.20,3265.50,3314.60,3314.60,-
01-07-95,3310.20,3487.80,3300.40,3463.30,3463.30,-
01-08-95,3458.70,3540.70,3433.40,3477.80,3477.80,-
01-09-95,3484.70,3587.00,3474.60,3508.20,3508.20,-
01-10-95,3510.60,3598.00,3442.50,3529.10,3529.10,-
01-11-95,3517.50,3671.00,3493.00,3664.30,3664.30,-
01-12-95,3654.00,3690.60,3558.50,3689.30,3689.30,-
01-01-96,3689.30,3767.40,3645.30,3759.30,3759.30,-
01-02-96,3753.30,3791.60,3688.70,3727.60,3727.60,-
01-03-96,3729.50,3792.50,3629.10,3699.70,3699.70,-
01-04-96,3692.10,3858.90,3692.10,3817.90,3817.90,-
01-05-96,3816.90,3829.40,3707.30,3747.80,3747.80,-
01-06-96,3737.00,3774.70,3671.60,3711.00,3711.00,-
01-07-96,3710.40,3790.00,3612.60,3703.20,3703.20,-
01-08-96,3709.30,3922.10,3697.70,3867.60,3867.60,-
01-09-96,3873.70,3994.10,3835.80,3953.70,3953.70,-
